canonical_id,fuente,id_en_fuente,metodo,fecha
p00177,biwenger,18174,auto,2026-07-13
p00177,sofascore,795222,auto,2026-07-17
p00177,transfermarkt,326330,auto,2026-07-13
p00178,biwenger,18178,auto,2026-07-13
p00178,sofascore,910536,auto,2026-07-17
p00178,transfermarkt,412363,auto,2026-07-13
p00179,biwenger,18251,auto,2026-07-13
p00179,sofascore,294377,manual,2026-07-17
p00179,transfermarkt,248738,auto,2026-07-13
p00180,biwenger,18256,auto,2026-07-13
p00180,sofascore,591132,manual,2026-07-17
p00180,transfermarkt,298575,auto,2026-07-13
p00181,biwenger,18382,auto,2026-07-13
p00181,sofascore,997280,auto,2026-07-17
p00181,transfermarkt,631002,auto,2026-07-13
p00182,biwenger,18397,auto,2026-07-13
p00182,sofascore,900003,manual,2026-07-17
p00182,transfermarkt,455181,auto,2026-07-13
p00183,biwenger,18398,auto,2026-07-13
p00183,sofascore,37318,auto,2026-07-17
p00183,transfermarkt,46413,auto,2026-07-13
p00184,biwenger,18401,auto,2026-07-13
p00184,sofascore,566894,auto,2026-07-17
p00184,transfermarkt,271021,auto,2026-07-13
p00185,biwenger,18496,auto,2026-07-13
p00185,sofascore,786969,auto,2026-07-17
p00185,transfermarkt,379548,auto,2026-07-13
p00186,biwenger,18564,auto,2026-07-13
p00186,transfermarkt,335216,auto,2026-07-13
p00187,biwenger,18570,auto,2026-07-13
p00187,transfermarkt,396334,auto,2026-07-13
p00188,biwenger,18945,auto,2026-07-13
p00188,sofascore,827212,auto,2026-07-17
p00188,transfermarkt,411975,auto,2026-07-13
p00189,biwenger,19141,auto,2026-07-13
p00189,sofascore,893062,auto,2026-07-17
p00189,transfermarkt,378139,auto,2026-07-13
p00190,biwenger,19192,auto,2026-07-13
p00190,sofascore,1014412,auto,2026-07-17
p00190,transfermarkt,625014,auto,2026-07-13
p00191,biwenger,19297,auto,2026-07-13
p00191,sofascore,825754,auto,2026-07-17
p00191,transfermarkt,361254,auto,2026-07-13
p00192,biwenger,19299,auto,2026-07-13
p00192,sofascore,855835,auto,2026-07-17
p00192,transfermarkt,366930,auto,2026-07-13
p00193,biwenger,19441,auto,2026-07-13
p00193,sofascore,992587,auto,2026-07-17
p00193,transfermarkt,683840,auto,2026-07-13
p00194,biwenger,19445,auto,2026-07-13
p00194,sofascore,811629,auto,2026-07-17
p00194,transfermarkt,281989,auto,2026-07-13
p00195,biwenger,19485,auto,2026-07-13
p00195,sofascore,187313,auto,2026-07-17
p00195,transfermarkt,213670,auto,2026-07-13
p00196,biwenger,19547,auto,2026-07-13
p00196,sofascore,910031,manual,2026-07-17
p00196,transfermarkt,548111,auto,2026-07-13
p00197,biwenger,19577,auto,2026-07-13
p00197,sofascore,826643,auto,2026-07-17
p00197,transfermarkt,342229,auto,2026-07-13
p00198,biwenger,19614,auto,2026-07-13
p00198,sofascore,1015287,auto,2026-07-17
p00198,transfermarkt,735568,auto,2026-07-13
p00199,biwenger,19693,auto,2026-07-13
p00199,sofascore,1399702,auto,2026-07-17
p00199,transfermarkt,1038512,auto,2026-07-13
p00200,biwenger,19839,auto,2026-07-13
p00200,sofascore,796320,auto,2026-07-17
p00200,transfermarkt,358250,auto,2026-07-13
p00201,biwenger,19860,auto,2026-07-13
p00201,sofascore,286167,auto,2026-07-17
p00201,transfermarkt,217144,auto,2026-07-13
p00202,biwenger,19862,auto,2026-07-13
p00202,sofascore,877262,auto,2026-07-17
p00202,transfermarkt,506248,auto,2026-07-13
p00203,biwenger,20102,auto,2026-07-13
p00203,sofascore,880218,auto,2026-07-17
p00203,transfermarkt,405398,auto,2026-07-13
p00204,biwenger,20110,auto,2026-07-13
p00204,sofascore,962883,auto,2026-07-17
p00204,transfermarkt,466810,auto,2026-07-13
p00205,biwenger,20702,auto,2026-07-13
p00205,sofascore,925097,auto,2026-07-17
p00205,transfermarkt,480267,auto,2026-07-13
p00206,biwenger,20969,auto,2026-07-13
p00206,sofascore,962710,auto,2026-07-17
p00206,transfermarkt,548188,auto,2026-07-13
